139,JF186,DS.PASEMBON,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/23/2017,114.1459432,-8.498502536
140,JG209,DS.RINGINMULYO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),10/15/2012,114.0934742,-8.563084623
141,JG272,DS. RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/26/2012,114.091455,-8.574279374
142,JG392,DS.RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2019,114.0884832,-8.580222488
143,JG393,DS.RINGINAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),6/8/2019,114.073452,-8.591586423
144,JG426,DS.PESANGGANRAN,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/22/2019,114.098321,-8.571492976
145,JG373,DS. RINGINMULYO,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/21/2006,114.0681569,-8.575455887
146,JG339,DN.KRAJAN,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),9/25/2018,114.1040638,-8.568549833
147,JG435,DS. RINGINSARI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),9/25/2007,114.1149498,-8.588430586
148,JG432,DS.BLOKAGUNG,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),12/29/2009,114.1091983,-8.45979849
149,JF452,DS. GUNUNGSARI,2-1,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/18/2007,114.1506311,-8.476446949
150,JF125,DS. KEDUNGRINGIN,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/25/2008,114.1908916,-8.511552719
151,JF357,DS. KEDUNGREJO,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.1790951,-8.520202038
152,JF165,DS. PLAOSAN,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),7/2/2007,114.1930207,-8.525092739
153,JF166,DS. SELOREJO,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),6/29/2007,114.1924223,-8.529949299
154,JF306,DS. PLAOSAN,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),1/1/2008,114.1990337,-8.52978786
155,JF127,DS. KEDUNGREJO,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),8/21/2011,114.1726044,-8.513293114
156,JF123,DS. SAMBIREJO,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/25/2008,114.1760693,-8.489891845
157,JF024,DS. KEDUNGRINGIN,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),5/24/2012,114.193405,-8.514233395
158,JG302,DS. BARUREJO,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/2/2005,114.1095292,-8.466629205
159,JG301,DS. BARUREJO,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/2/2005,114.1148104,-8.470538613
160,JG365,DS.BARUREJO,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/24/2012,114.1121002,-8.486702582
161,JG268,DS. SUMBERSUKO,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/25/2004,114.1265121,-8.531038603
162,JG132,DS. KALIGESING,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.1192378,-8.462588026
163,JG297,DS. KEBONDALEM,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),4/2/2005,114.1248385,-8.473079885
164,JG162,DS. RINGINTELU,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.1251452,-8.48501146
165,JG056,DS. RINGINTELU,2-2,KONTRUKSI TRAFO 2 TIANG 4 JURUSAN (Daya 160  s/d 250kVA),3/1/2004,114.1161524,-8.495042665
